 PMTF-REV.dat 2019.06.26 12.20.24
 
 PMTF (un-primed): 
   1.4366450066699177      A_e (elastic)
   0.0000000000000000      A_s (secular)
           1   3.4643461587241351E-008  -5.5260973879170547E-007 i, A_i, a_i (i=1,...,M)
           2   7.6727747979281438E-008  -8.3667596605195944E-006
           3   1.7471268471175123E-006  -1.6071008669053610E-005
           4   5.0069619035008269E-006  -2.6718871642294252E-005
           5   7.3739726536657931E-006  -6.1845832036992434E-005
           6   1.0717287671538471E-004  -1.9987801485506194E-004
           7   1.5446387801006628E-003  -6.8268447899728023E-004
           8   3.1213610952519011E-002  -3.1624768164146000E-003
           9  0.56411446263216147       -2.6658314646701351E-002
          10  0.17156693581011997      -0.10518285182120286     
          11  0.71416525400439057      -0.66941436235911989     
          12  -1.6933127896322134E-039  -2.0976352516676497     
          13   3.5242129737087097E-003  -2.1077300859843842     
          14   2.0063286145359650E-003  -2.1434271912403013     
          15   1.4670719460581555E-038  -2.4139906319177200     
          16   4.7946447311719934E-003  -2.4323909876001251     
          17   2.6805243848536725E-003  -2.5206011639459383     
          18  -6.3285132130978058E-037  -3.0177470172346061     
          19   4.7486350829358415E-003  -3.0710377401675570     
          20   2.1065514188508129E-003  -3.1285398162038858     
          21   2.1490862816847562E-032  -3.3518220303376167     
          22   1.6256619849506895E-005  -3.3580144931691520     
          23   8.5644869559761468E-032  -3.3601455734050405     
          24   3.5511344901742199E-004  -3.3946333632819505     
          25   4.1093427625990961E-003  -3.4385894997388613     
          26   2.6396978326189875E-003  -3.5461391319541562     
          27   1.1213358949326169E-036  -3.6691229417455355     
          28   4.9037904375989882E-003  -3.7768113440992486     
          29   3.1107391577443392E-003  -3.8900250887689474     
          30  -3.2985482482044919E-039  -4.0300078029260993     
          31   4.1373525708109727E-003  -4.1809705695948427     
          32   2.2097869443529830E-003  -4.2859087896144539     
          33   2.7301289756874647E-042  -4.4086358879067777     
          34   3.0116275044062837E-004  -5.0490330999159783     
          35   8.7142105707298731E-003  -5.2988341391396681     
          36   1.4419676138502224E-047  -5.3734380782038942     
 
 PMTF^ (primed): 
   1.0990086647779047      A_e^ (elastic, primed)
   0.0000000000000000      A_s^ (secular, primed)
           1  -2.8511791556587272E-008  -5.5260973879170547E-007 i, A_i^, a_i (i=1,...,M)
           2  -4.6258290125450142E-008  -8.3667596605195944E-006
           3  -9.2625669976430014E-007  -1.6071008669053610E-005
           4  -2.3833240149415654E-006  -2.6718871642294252E-005
           5  -3.3730660088335095E-006  -6.1845832036992434E-005
           6  -3.4573439786604177E-005  -1.9987801485506194E-004
           7  -3.8193911854125605E-004  -6.8268447899728023E-004
           8  -1.8193891316415998E-003  -3.1624768164146000E-003
           9   2.7933455198894612E-002  -2.6658314646701351E-002
          10  -1.4819564184108999E-003 -0.10518285182120286     
          11  0.28032019394465441      -0.66941436235911989     
          12  -1.6909240921326780E-039  -2.0976352516676497     
