 PMTF-REV-MP.dat 2019.08.20 16.09.00
 
 PMTF (un-primed): 
   1.4366485431981351      A_e (elastic)
   0.0000000000000000      A_s (secular)
           1   1.1815306671095059E-007  -1.7789063996641908E-006 i, A_i, a_i (i=1,...,M)
           2   1.3601714150097062E-008  -5.9149298500969916E-006
           3   1.3285845383176125E-007  -1.4807306793916950E-005
           4   4.5492272883121523E-006  -3.2069839296814801E-005
           5   6.2985336899898567E-006  -5.5991566572522906E-005
           6   5.9574781631701613E-005  -1.9210496688159369E-004
           7   1.6075022610770007E-003  -7.2635262032555697E-004
           8   4.7451276118394080E-002  -2.8403254253169296E-003
           9  0.41891859699998307       -1.7713624396575024E-002
          10  0.13113455777240393      -0.11129421812234960     
          11  0.51025346937983551      -0.50347874919320479     
          12  -1.8549497729253849E-036  -1.9901622160390979     
          13   4.2700839542081934E-003  -2.0254131128917363     
          14   2.7755879810770459E-003  -2.0748170200398830     
          15   1.1411767233443433E-034  -2.2353681214365015     
          16   4.2415034335298706E-003  -2.2807054088729126     
          17   2.8570388568820515E-003  -2.3445669371411388     
          18  -5.7938366561502242E-034  -2.4828310897350447     
          19   3.6484013781864686E-003  -2.5383750798915483     
          20   2.3853667655068336E-003  -2.6066295478621555     
          21   3.4611416259500134E-034  -2.7178687977381442     
          22   3.7809054403111185E-003  -2.7964762006605910     
          23   2.3589178030969577E-003  -2.8792180926375188     
          24  -2.3607572218005380E-035  -2.9851909124100753     
          25   3.1015905166812234E-003  -3.0970321850745735     
          26   1.7298538590652659E-003  -3.1760031365633123     
          27   1.3873329840169838E-037  -3.2656561555907166     
          28   2.0162309453610021E-003  -4.1687411541425261     
          29   1.0434417582024058E-003  -4.2007777551810870     
          30  -3.3447992067183329E-040  -4.2101920932045909     
          31   2.2328782924254916E-003  -4.7160457482415019     
          32   4.1375183124489970E-003  -4.8037386026329107     
          33   1.2809040787343112E-043  -4.8279812638354400     
          34   2.9183426310578297E-003  -6.2970857255763146     
          35   2.5002248105444897E-002  -6.6183137576358924     
          36   2.9968314581058775E-051  -6.7202911468100819     
 
 PMTF^ (primed): 
   1.0989930522762774      A_e^ (elastic, primed)
   0.0000000000000000      A_s^ (secular, primed)
           1  -8.3289285149984257E-008  -1.7789063996641908E-006 i, A_i^, a_i (i=1,...,M)
           2  -6.1938131165350359E-009  -5.9149298500969916E-006
           3  -6.3150587352044407E-008  -1.4807306793916950E-005
           4  -2.0654146263356542E-006  -3.2069839296814801E-005
           5  -3.2914168219001740E-006  -5.5991566572522906E-005
           6  -2.1427183184357457E-005  -1.9210496688159369E-004
           7  -4.4076247762336255E-004  -7.2635262032555697E-004
           8  -2.6284608550534920E-003  -2.8403254253169296E-003
           9   2.1676502815029076E-002  -1.7713624396575024E-002
          10  -9.4237349053712561E-004 -0.11129421812234960     
          11  0.20908324666771319      -0.50347874919320479     
          12  -1.8680363271935740E-036  -1.9901622160390979     
          13   7.1980536246701269E-004  -2.0254131128917363     
          14   1.3210652099256075E-003  -2.0748170200398830     
          15   1.1474273008200960E-034  -2.2353681214365015     
