 -----------------------------------------------------------------
 PMTF-REV.dat 2021.03.19 13.26.45
 Model: MODELS/PREM_LT60_NV5_VM5a.dat                                                                       
 MP:       128
 -----------------------------------------------------------------
 
 PMTF:
   1.4459380042567671      A_e (elastic)
   0.0000000000000000      A_s (secular)
           1   4.2791366700461489E-010  -7.0728328627364526E-009 i, A_i, a_i (i=1,...,M)
           2   2.0354558648241326E-005  -4.1693244382607509E-005
           3   1.1495338428744401E-003  -4.1423751261788735E-004
           4   5.3559358218480235E-002  -2.2109304843859331E-003
           5  0.40634502654011040       -1.3045377426510482E-002
           6   5.9418911826526373E-002  -5.4829577285486548E-002
           7   2.3568745161795827E-003 -0.21164887278222660     
           8  -6.0116080430069808E-114 -0.21284338895999999     
           9  0.14961634306786120      -0.26704961836101071     
          10  0.38755022317179055      -0.52341658172980066     
          11   7.0134542877840481E-122  -2.3884120421052630     
          12   1.0130355086831555E-002  -3.2339597247607945     
          13   2.1928154913491458E-002  -3.5270185417797086     
          14  -8.2041253397274022E-121  -3.6825910165605094     
          15   1.1703643438365953E-002  -4.5768635622740517     
          16   1.4186242573258690E-003  -4.6385260874584811     
          17   2.1649213101203612E-120  -4.6625722847999995     
          18   7.1019838583382478E-003  -6.6392800963552920     
          19   2.7438170841296086E-002  -6.8901099935218575     
          20   1.9367332935332537E-122  -6.9982133759999998     
 
 PMTF^:
   1.0997385507527684      A_e^ (elastic, primed)
   0.0000000000000000      A_s^ (secular, primed)
           1  -3.9702978971949459E-010  -7.0728328627364526E-009 i, A_i^, a_i (i=1,...,M)
           2  -5.9248669995062818E-006  -4.1693244382607509E-005
           3  -2.7205502179462020E-004  -4.1423751261788735E-004
           4  -3.0904199659746285E-003  -2.2109304843859331E-003
           5   2.2017963823768794E-002  -1.3045377426510482E-002
           6  -7.3526136544966141E-003  -5.4829577285486548E-002
           7   1.6868404486298806E-003 -0.21164887278222660     
           8  -4.8285316642746352E-114 -0.21284338895999999     
           9   2.4746368645439342E-002 -0.26704961836101071     
          10  0.17516924752427118      -0.52341658172980066     
          11   7.0949166133128070E-122  -2.3884120421052630     
          12   6.0026763602701325E-003  -3.2339597247607945     
          13   4.1660940678285028E-003  -3.5270185417797086     
          14  -8.1671749035890585E-121  -3.6825910165605094     
          15   4.1363462395390986E-003  -4.5768635622740517     
          16  -3.6634737994408323E-005  -4.6385260874584811     
          17   1.9726112202814414E-120  -4.6625722847999995     
          18   5.2831236831057168E-003  -6.6392800963552920     
          19   5.0543683390343605E-003  -6.8901099935218575     
          20   5.1476532591100567E-123  -6.9982133759999998     
 
 A^^ terms: 
           1  -4.3564825721976000E-134  -7.0796799643959446E-009 i, A_i^^, s_i (i=1,...,M)
           2  -6.6890917520999990E-130  -4.2016890871014442E-005
           3  -3.0165042258919997E-128  -4.3161985459878318E-004
           4  -9.9841028187720983E-127  -3.3851453236339096E-003
           5   4.9307922920790995E-127  -4.8647741014271835E-002
           6  -2.7861988369037247E-124 -0.15321168958783563     
           7  -1.8950812373050000E-127 -0.21249703290512004     
           8   7.1027948196767151E-142 -0.21284338895999999     
           9  -2.8737213908060433E-124 -0.34238093506479317     
          10  -2.7995776098773289E-123  -1.0338761466230988     
          11  -1.8314171607323602E-129  -2.3884120421052630     
          12   1.3648482518417916E-123  -3.2424908394305967     
          13  -3.1128800228053092E-122  -3.5466895936714442     
          14   3.4294292220793244E-124  -3.6825910165605094     
          15  -1.2737991161803211E-120  -4.5864888725691966     
          16   6.8388006148741649E-120  -4.6399338217624546     
          17  -4.1717180847494979E-121  -4.6625722847999995     
          18   1.0949395397410732E-123  -6.6444429963182952     
          19  -3.9388972775124614E-122  -6.9121304866377491     
          20   2.4313618379303321E-122  -6.9982133759999989     
 
 G^ terms:
   1.4243068087817550      G_e^ (elastic, primed)
   0.0000000000000000      G_s^ (secular, primed)
           1  -7.7696966500933175E-010  -7.0728328627364526E-009 i, G_i^, a_i (i=1,...,M)
