 -----------------------------------------------------------------
 PMTF.dat 2021.04.14 11.33.08
 Model: MODELS/PREM_LT90_NV4_VM2a.dat                                                                       
 MP:       128
 -----------------------------------------------------------------
 
 PMTF:
   1.4550257791899426      A_e (elastic)
  0.15923305043259187      A_s (secular)
           1   6.4478454276079455E-002  -7.7750500281392545E-005 i, A_i, a_i (i=1,...,M-1)
           2   5.0059841538011074E-002  -8.7485218772450854E-004
           3  0.24140113520310313       -8.0740016289978598E-003
           4  0.15960715852012014      -0.12991930871847371     
           5  0.43372161371058648      -0.50029608110169932     
           6  -2.0006441957730459E-123  -2.4092793163636359     
           7   5.1851553199020765E-003  -2.8323234688921781     
           8   1.0114699484035646E-002  -3.0216339430414547     
           9   1.1688262703601130E-122  -3.1439674231578945     
          10   1.9968791469990161E-002  -5.5880576689530681     
          11   1.0817908874084242E-002  -5.7495359808703341     
          12   2.6743277906391287E-122  -5.8095174780000001     
          13   8.4066415653932351E-003  -8.2203250572257272     
          14   4.4936769783079367E-002  -8.5956687895884993     
          15  -2.2291133495867740E-123  -8.7477667199999978     
 
 PMTF^:
   1.1092780007690908      A_e^ (elastic, primed)
   3.2513412739676294E-003 A_s^ (secular, primed)
           1   1.6300599298801947E-003  -7.7750500281392545E-005 i, A_i^, a_i (i=1,...,M-1)
           2   3.3949524034982939E-003  -8.7485218772450854E-004
           3   2.5641406530899590E-002  -8.0740016289978598E-003
           4   4.6268228521158675E-003 -0.12991930871847371     
           5  0.20161289379920738      -0.50029608110169932     
           6  -2.0262752505659875E-123  -2.4092793163636359     
           7   2.9028565923169326E-003  -2.8323234688921781     
           8   2.0768618678756743E-003  -3.0216339430414547     
           9   1.1649638688728190E-122  -3.1439674231578945     
          10   9.6608426173921593E-003  -5.5880576689530681     
          11   1.5126603417219783E-003  -5.7495359808703341     
          12   2.3128919552738312E-122  -5.8095174780000001     
          13   7.2233572472325909E-003  -8.2203250572257272     
          14   9.2608321047470930E-003  -8.5956687895884993     
          15  -2.0338989292663902E-123  -8.7477667199999978     
 
 A^^ terms: 
           1  -9.2181472399999995E-132  -5.4808769843227003E-005 i, A_i^^, s_i (i=1,...,M)
           2  -6.2965951223999999E-130  -7.0391484605500040E-004
           3  -1.4499884786109999E-128  -4.2801571952871733E-003
           4  -6.2749081294841003E-127  -8.6826110642957366E-002
           5  -5.8579058168234204E-126 -0.25843839205528601     
           6  -3.1485097307294354E-125  -1.0397217091922344     
           7   4.6461665667349772E-129  -2.4092793163636359     
           8  -9.1693129310467200E-125  -2.8370212537763644     
           9   6.3320506926555555E-124  -3.0312314332782369     
          10  -5.4352466722799434E-126  -3.1439674231578945     
          11   9.4353107768383411E-123  -5.6030141601653130     
          12  -8.4843015998308602E-122  -5.7589297695319974     
          13   1.0670624053062215E-122  -5.8095174780000001     
          14   4.0078892261958318E-124  -8.2262314487003252     
          15   6.9456362781989007E-123  -8.6305123142081079     
          16  -5.4725865064567421E-124  -8.7477667199999996     
 
 G^ terms:
   1.4338943674997584      G_e^ (elastic, primed)
   6.2938179360406488E-003 G_s^ (secular, primed)
           1   3.1554055877319989E-003  -7.7750500281392545E-005 i, G_i^, a_i (i=1,...,M-1)
           2   6.5718146846723818E-003  -8.7485218772450854E-004
           3   4.9635621342372947E-002  -8.0740016289978598E-003
           4   8.9564208121388159E-003 -0.12991930871847371     
           5  0.39027427151073762      -0.50029608110169932     
           6  -2.0069873922921754E-123  -2.4092793163636359     
           7   5.6192350623910682E-003  -2.8323234688921781     
           8   4.0203071204407033E-003  -3.0216339430414547     
           9   1.1516895251830425E-122  -3.1439674231578945     
          10   1.8701077315212047E-002  -5.5880576689530681     
          11   2.9281481049355852E-003  -5.7495359808703341     
          12   2.0003435850042902E-122  -5.8095174780000001     
          13   1.3982689471900182E-002  -8.2203250572257272     
          14   1.7926752774368601E-002  -8.5956687895884993     
          15  -1.8568948392008260E-123  -8.7477667199999978     
 
 G^^ terms:
           1   1.0989626277761335E-007  -5.4808769843227003E-005 i, G_i^^, s_i (i=1,...,M)
           2   7.5047915904091532E-006  -7.0391484605500040E-004
           3   1.7270656690788843E-004  -4.2801571952871733E-003
           4   7.3585315806631354E-003  -8.6826110642957366E-002
           5   6.6465546976283249E-002 -0.25843839205528601     
           6  0.30398114452238262       -1.0397217091922344     
           7   5.5290492915398434E-129  -2.4092793163636359     
           8   1.6281867967477381E-003  -2.8370212537763644     
           9   6.7423252046099275E-003  -3.0312314332782369     
          10  -6.2579589818554294E-126  -3.1439674231578945     
          11   4.4930163048341786E-003  -5.6030141601653130     
          12   6.4581748756949659E-003  -5.7589297695319974     
          13   1.0182977099512851E-122  -5.8095174780000001     
          14  -4.8325747538619911E-004  -8.2262314487003252     
          15   1.9986528052824405E-002  -8.6305123142081079     
          16  -5.3053956703930881E-124  -8.7477667199999996     
 
 U^ terms:
  0.58820647619976607      U_e^ (elastic, primed)
   6.2274295822969620E-003 U_s^ (secular, primed)
           1   3.1141965450396281E-003  -7.7750500281392545E-005 i, U_i^, a_i (i=1,...,M-1)
           2   6.3415762047269912E-003  -8.7485218772450854E-004
           3   4.6912014726647272E-002  -8.0740016289978598E-003
           4   8.8222946870742999E-003 -0.12991930871847371     
           5  0.29655572564824367      -0.50029608110169932     
           6   4.5247283001269843E-125  -2.4092793163636359     
           7   3.9941002543334748E-003  -2.8323234688921781     
