 -----------------------------------------------------------------
 PMTF.dat 2021.03.19 13.26.44
 Model: MODELS/PREM_LT60_NV5_VM5a.dat                                                                       
 MP:       128
 -----------------------------------------------------------------
 
 PMTF:
   1.4564894598821918      A_e (elastic)
   4.4849521402675913E-004 A_s (secular)
           1  0.11630398103546595       -1.8762202641815905E-006 i, A_i, a_i (i=1,...,M-1)
           2   6.3932007349919745E-002  -6.5235695231551604E-005
           3   6.1033336067169465E-002  -5.8342025315656003E-004
           4  0.27355197882995647       -7.1928324456635518E-003
           5   4.5847456131459505E-002  -5.3987125401973854E-002
           6   2.5346460374704176E-003 -0.21160948444365921     
           7  -6.0755521684479251E-114 -0.21284338895999999     
           8  0.15102505121984414      -0.26462649951387263     
           9  0.37899244545034189      -0.51723916654097657     
          10   7.1257743322682784E-122  -2.3884120421052630     
          11   1.0356754470219784E-002  -3.2337946595135452     
          12   2.2364390300359142E-002  -3.5266616708949599     
          13  -8.4282735270135601E-121  -3.6825910165605094     
          14   1.1975609308754621E-002  -4.5766727787315382     
          15   1.4418235661739093E-003  -4.6385030400947755     
          16   3.1140681936848235E-120  -4.6625722847999995     
          17   7.3056357205756352E-003  -6.6391640182562641     
          18   2.8105383632492743E-002  -6.8896624824239190     
          19   1.4242200549879216E-122  -6.9982133759999989     
 
 PMTF^:
   1.1077636821786490      A_e^ (elastic, primed)
   6.0324835445246292E-006 A_s^ (secular, primed)
           1   1.6493405027702699E-003  -1.8762202641815905E-006 i, A_i^, a_i (i=1,...,M-1)
           2   1.1594082373251821E-003  -6.5235695231551604E-005
           3   2.8221021077212294E-003  -5.8342025315656003E-004
           4   2.5437653180646995E-002  -7.1928324456635518E-003
           5  -5.5666088726991393E-003  -5.3987125401973854E-002
           6   1.8189239619353526E-003 -0.21160948444365921     
           7  -4.8798916718178947E-114 -0.21284338895999999     
           8   2.8786426505984567E-002 -0.26462649951387263     
           9  0.17773554658170099      -0.51723916654097657     
          10   7.2085522810153611E-122  -2.3884120421052630     
          11   6.1933378529210282E-003  -3.2337946595135452     
          12   4.5370498147099475E-003  -3.5266616708949599     
          13  -8.3898603202050579E-121  -3.6825910165605094     
          14   4.3503429768733011E-003  -4.5766727787315382     
          15  -1.4084616225191982E-005  -4.6385030400947755     
          16   2.7271493771070016E-120  -4.6625722847999995     
          17   5.4414968480412480E-003  -6.6391640182562641     
          18   5.5420331464013962E-003  -6.8896624824239190     
          19  -8.3831881235383791E-122  -6.9982133759999989     
 
 A^^ terms: 
           1  -1.1358660000000000E-134  -7.0796799643959446E-009 i, A_i^^, s_i (i=1,...,M)
           2  -1.7440580374999998E-130  -4.2016890871014442E-005
           3  -7.8649409738599977E-129  -4.3161985459878318E-004
           4  -2.6031681201487999E-127  -3.3851453236339096E-003
           5   1.2856827485007998E-127  -4.8647741014271835E-002
           6  -7.2658737098761447E-125 -0.15321168958783563     
           7  -5.5416808949089986E-128 -0.21249703290512004     
           8   7.6618331632420685E-142 -0.21284338895999999     
           9  -7.4960865377481066E-125 -0.34238093506479317     
          10  -7.3114626787732661E-124  -1.0338761466230988     
          11  -1.1187598202208407E-129  -2.3884120421052630     
          12   6.2538321435114669E-124  -3.2424908394305967     
          13  -1.2919039208775983E-122  -3.5466895936714442     
          14   1.4044027748610137E-124  -3.6825910165605094     
          15  -4.8005398198382002E-121  -4.5864888725691966     
          16   2.5676407783555265E-120  -4.6399338217624546     
          17  -2.2288364731009274E-121  -4.6625722847999995     
          18   4.9517156136545363E-124  -6.6444429963182952     
          19  -1.8528292459508540E-122  -6.9121304866377491     
          20   1.0816676191255041E-121  -6.9982133759999989     
 
 G^ terms:
   1.4347004149015250      G_e^ (elastic, primed)
   1.1713019761212745E-005 G_s^ (secular, primed)
           1   3.2024551346603114E-003  -1.8762202641815905E-006 i, G_i^, a_i (i=1,...,M-1)
           2   2.2511742460414519E-003  -6.5235695231551604E-005
           3   5.4795570533966087E-003  -5.8342025315656003E-004
